ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	52.87991915085753	52.87991915085753	52.87991915085753	52.87991915085753
1	52.87991915085753	52.87991915085753	52.87991915085753	52.87991915085753
2	52.87991915085753	52.87991915085753	52.87991915085753	52.87991915085753
3	52.87991915085753	52.87991915085753	52.87991915085753	52.87991915085753
4	52.87991915085753	52.87991915085753	52.87991915085753	52.87991915085753
5	52.87991915085753	52.87991915085753	52.87991915085753	52.87991915085753
6	52.87991915085753	52.87991915085753	52.87991915085753	52.87991915085753
7	52.87991915085753	52.87991915085753	52.87991915085753	52.87991915085753
8	52.87991915085753	52.87991915085753	52.87991915085753	52.87991915085753
9	52.87991915085753	52.87991915085753	52.87991915085753	52.87991915085753
10	52.87991915085753	52.87991915085753	52.87991915085753	52.87991915085753
